ano,id_municipio,municipio,desmatamento,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss,emprego,remuneracao_media,co2e
2021,2608057,Jatobá,135.3,153793000,10323000,143470000,15671000,6098000,42334000,79367000,1632,1893.290606617648,55318.90984368999
2021,2608107,João Alfredo,110.5,316644000,20886000,295758000,9822000,42103000,92028000,151805000,2875,1656.523391304346,30615.05724897002
2021,2608206,Joaquim Nabuco,109.6,181310000,12375000,168935000,8706000,39952000,41871000,78406000,2155,1682.11714153132,19502.13065332
2021,2608255,Jucati,112.8,129270000,3421000,125849000,37315000,3038000,24154000,61343000,1123,1526.196482635798,33318.03766206
2021,2608305,Jupi,94.9,214224000,8515000,205709000,56131000,17411000,47414000,84754000,1816,1674.379295154187,60029.36552337002
2021,2608404,Jurema,130.8,132840000,4306000,128534000,16174000,4550000,29335000,78475000,1118,1559.820894454383,48070.67937303
2021,2608453,Lagoa do Carro,59.3,300635000,21611000,279024000,85625000,11199000,78057000,104143000,1726,1696.976239860952,57265.27787708
2021,2608503,Lagoa de Itaenga,48.6,482859000,39596000,443262000,33368000,162881000,127273000,119740000,9383,1640.580495577104,73367.50848561998
2021,2608602,Lagoa do Ouro,169.7,139223000,4652000,134571000,34520000,3195000,27305000,69552000,1002,1634.394481037924,130362.03532011
2021,2608701,Lagoa dos Gatos,180.4,135443000,4872000,130571000,21770000,4985000,28229000,75588000,682,2147.950131964808,39447.93585670002
2021,2608750,Lagoa Grande,368.2,456844000,32013000,424831000,153715000,32672000,109355000,129089000,6157,1589.564976449571,167996.61920709
2021,2608800,Lajedo,182.5,585576000,63587000,521989000,56559000,30779000,231429000,203222000,5438,1480.415051489518,162934.81384822
2021,2608909,Limoeiro,217,838343000,89265000,749078000,38356000,68987000,382509000,259225000,8629,1681.76972534477,183605.4533217301
2021,2609006,Macaparana,81.1,283578000,22806000,260773000,33241000,11436000,89975000,126121000,2804,1798.956669044224,54179.81198133999
2021,2609105,Machados,42.1,216295000,13808000,202487000,33081000,40947000,49813000,78645000,1549,1635.721013557136,33184.11273351
2021,2609154,Manari,243.1,139153000,3748000,135406000,8681000,3322000,24511000,98892000,926,2129.161360691145,49618.68807462999
2021,2609204,Maraial,163.3,92490000,2350000,90139000,5645000,2337000,19995000,62162000,1535,1702.083785016287,42564.32907065997
2021,2609303,Mirandiba,250.6,163406000,15103000,148303000,8121000,8569000,58173000,73440000,1048,1807.037146946563,146825.66866383
2021,2609402,Moreno,168,892506000,88719000,803787000,64912000,175308000,279647000,283920000,9694,1817.884276872294,115624.7582884899
2021,2609501,Nazaré da Mata,117.4,688468000,77981000,610487000,55048000,144044000,235329000,176066000,6615,1803.689606953893,98761.57701869996
2021,2609600,Olinda,36.2,5788250000,695035000,5093215000,3884000,633838000,2887532000,1567961000,97436,1756.154952789533,530038.7758666603
2021,2609709,Orobó,104.4,398794000,16324000,382470000,193174000,7939000,72462000,108895000,1918,1838.055620437958,79860.20875001005
2021,2609808,Orocó,164.8,186448000,10892000,175555000,50997000,7424000,35426000,81708000,1278,1916.663959311423,86585.27694312995
2021,2609907,Ouricuri,1540.2,780513000,66236000,714276000,35603000,70981000,302230000,305462000,5979,1936.504351898308,282030.4056257
2021,2610004,Palmares,298.4,924146000,107351000,816794000,18402000,29520000,484185000,284687000,9566,1761.185718168504,214547.6995701198
2021,2610103,Palmeirina,157.9,79959000,1783000,78176000,17351000,2171000,15334000,43319000,385,2050.065168831169,101901.1634063999
2021,2610202,Panelas,351.1,229556000,8101000,221455000,21253000,6740000,58067000,135396000,2646,1801.045154950869,61131.20468878997
2021,2610301,Paranatama,146.8,285773000,10540000,275234000,21883000,153064000,30355000,69932000,782,1770.869693094633,39531.27911803002
2021,2610400,Parnamirim,726.2,213190000,17312000,195878000,16420000,7707000,66876000,104874000,1717,1930.570722189868,344291.1674745801
2021,2610509,Passira,265.8,264547000,15064000,249483000,14458000,9030000,81096000,144898000,1827,1679.512112753149,81575.90495427002
2021,2610608,Paudalho,206.3,926328000,45181000,881147000,358993000,55295000,204608000,262252000,8396,1599.669536684134,156914.8773884599
2021,2610707,Paulista,57.1,5591652000,758639000,4833013000,14675000,796496000,2620163000,1401680000,57384,1767.624055137319,431344.2143086598
